photo,photo_time,imu_time,imu_time_diff_s,seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscope_local_time,gravity_z,gravity_y,gravity_x,gravity_local_time,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometerUncalibrated_local_time,magnetometer_z,magnetometer_y,magnetometer_x,magnetometer_local_time,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,gyroscopeUncalibrated_local_time,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,orientation_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
IMG_2847.JPG,2025-10-15 16:37:49,2025-10-15 16:37:49.133,0.133,64.0,0.075648,0.006699,-0.006717,2025-10-15T16:37:49.133-07:00,-9.707966,1.134601,0.793337,2025-10-15T16:37:49.133-07:00,-613.853658,39.577395,69.056,2025-10-15T16:37:49.131-07:00,-44.130282,-5.832036,-3.156521,2025-10-15T16:37:49.133-07:00,,,,,,,,,,,,0.073439,0.005919,-0.010574,2025-10-15T16:37:49.127-07:00,1.96783,0.065971,-0.829205,0.081538,-0.554296,0.025707,-0.115958,2025-10-15T16:37:49.133-07:00,-0.981725,0.108189,0.065976,2025-10-15T16:37:49.127-07:00,0.082379,-0.070087,-0.148585,2025-10-15T16:37:49.133-07:00
IMG_2848.JPG,2025-10-15 16:37:53,2025-10-15 16:37:53.130,0.13,68.0,0.029148,0.01448,0.019808,2025-10-15T16:37:53.130-07:00,-9.693049,1.229737,0.831641,2025-10-15T16:37:53.130-07:00,-613.436216,40.485674,68.425054,2025-10-15T16:37:53.135-07:00,-43.755504,-4.898345,-3.783585,2025-10-15T16:37:53.130-07:00,376.305664,-1.0,-1.0,33.304026,406.735367,-1.0,14.567251,49.332653,-111.680062,-1.0,2025-10-15T16:37:53.474-07:00,0.024934,0.014052,0.01942,2025-10-15T16:37:53.134-07:00,2.026378,0.069459,-0.844616,0.085583,-0.529875,0.030678,-0.125731,2025-10-15T16:37:53.130-07:00,-0.977697,0.117657,0.075442,2025-10-15T16:37:53.134-07:00,0.104224,-0.078248,-0.092804,2025-10-15T16:37:53.130-07:00
IMG_2849.JPG,2025-10-15 16:37:57,2025-10-15 16:37:57.127,0.127,72.0,0.173158,-0.017078,-0.060152,2025-10-15T16:37:57.127-07:00,-9.666672,1.494142,0.635302,2025-10-15T16:37:57.127-07:00,-613.16951,42.400011,66.416561,2025-10-15T16:37:57.129-07:00,-43.374057,-3.047769,-5.789896,2025-10-15T16:37:57.127-07:00,376.305829,2.223699,-1.0,33.304028,406.735532,-1.0,12.902113,61.525379,-111.680069,0.0,2025-10-15T16:37:57.475-07:00,0.172496,-0.016593,-0.061329,2025-10-15T16:37:57.131-07:00,2.137306,0.064988,-0.871809,0.065595,-0.481541,0.051269,-0.153021,2025-10-15T16:37:57.127-07:00,-0.997873,0.13729,0.063532,2025-10-15T16:37:57.131-07:00,-0.124916,-0.144807,-0.003969,2025-10-15T16:37:57.127-07:00
IMG_2850.JPG,2025-10-15 16:38:06,2025-10-15 16:38:06.136,0.136,81.0,0.032797,-0.033136,-0.023335,2025-10-15T16:38:06.136-07:00,-9.714994,0.964222,0.918123,2025-10-15T16:38:06.136-07:00,-613.265754,43.393196,65.262578,2025-10-15T16:38:06.133-07:00,-45.289886,-1.990296,-6.897574,2025-10-15T16:38:06.136-07:00,,,,,,,,,,,,0.03089,-0.034932,-0.025751,2025-10-15T16:38:06.129-07:00,2.464321,0.060664,-0.940212,0.094219,-0.333584,0.030718,-0.098484,2025-10-15T16:38:06.136-07:00,-0.980774,0.086152,0.087791,2025-10-15T16:38:06.129-07:00,0.09773,-0.118324,-0.057072,2025-10-15T16:38:06.136-07:00
IMG_2851.JPG,2025-10-15 16:38:11,2025-10-15 16:38:11.127,0.127,86.0,0.269871,-0.056395,0.027503,2025-10-15T16:38:11.127-07:00,-9.74391,1.072,0.148857,2025-10-15T16:38:11.127-07:00,-613.234584,47.168003,60.402579,2025-10-15T16:38:11.133-07:00,-45.276409,1.792322,-11.754789,2025-10-15T16:38:11.127-07:00,376.299469,2.185977,-1.0,33.304035,406.729172,-1.0,15.417664,68.089577,-111.680081,0.0,2025-10-15T16:38:11.475-07:00,0.266865,-0.050994,0.024736,2025-10-15T16:38:11.131-07:00,2.73472,0.018506,-0.977336,0.015259,-0.201998,0.051865,-0.109544,2025-10-15T16:38:11.127-07:00,-0.982517,0.095614,0.017766,2025-10-15T16:38:11.131-07:00,0.126576,-0.112823,0.052407,2025-10-15T16:38:11.127-07:00
IMG_2852.JPG,2025-10-15 16:38:17,2025-10-15 16:38:17.133,0.133,92.0,0.105805,-0.027121,-0.044892,2025-10-15T16:38:17.133-07:00,-9.755732,0.910807,0.387625,2025-10-15T16:38:17.133-07:00,-613.338775,47.467651,61.536258,2025-10-15T16:38:17.129-07:00,-45.461106,2.068695,-10.641976,2025-10-15T16:38:17.133-07:00,,,,,,,,,,,,0.103355,-0.028401,-0.046984,2025-10-15T16:38:17.127-07:00,2.805153,0.027278,-0.984285,0.03971,-0.168089,0.042429,-0.093015,2025-10-15T16:38:17.133-07:00,-0.981844,0.084704,0.040634,2025-10-15T16:38:17.127-07:00,0.134769,-0.088464,0.012069,2025-10-15T16:38:17.133-07:00
IMG_2853.JPG,2025-10-15 16:38:26,2025-10-15 16:38:26.132,0.132,101.0,0.789386,-0.014456,0.106306,2025-10-15T16:38:26.132-07:00,-9.780602,0.385899,0.322956,2025-10-15T16:38:26.132-07:00,-614.070872,47.693045,61.673558,2025-10-15T16:38:26.134-07:00,-45.975101,2.357127,-10.528291,2025-10-15T16:38:26.132-07:00,,,,,,,,,,,,0.780342,-0.01353,0.107218,2025-10-15T16:38:26.135-07:00,1.311031,0.020138,-0.989313,0.033037,-0.067139,0.017751,-0.039388,2025-10-15T16:38:26.132-07:00,-0.999045,0.042177,0.060847,2025-10-15T16:38:26.135-07:00,-0.017005,0.031053,0.273595,2025-10-15T16:38:26.132-07:00
IMG_2854.JPG,2025-10-15 16:38:34,2025-10-15 16:38:34.136,0.136,109.0,0.437127,-0.107949,0.002563,2025-10-15T16:38:34.136-07:00,-9.788408,-0.268357,0.277397,2025-10-15T16:38:34.136-07:00,-617.925538,55.191864,80.002058,2025-10-15T16:38:34.132-07:00,-49.968896,9.979709,7.737928,2025-10-15T16:38:34.136-07:00,,,,,,,,,,,,0.433414,-0.109005,-0.000382,2025-10-15T16:38:34.130-07:00,-1.261506,0.020533,-0.588474,0.028313,0.805881,0.00311,0.027376,2025-10-15T16:38:34.136-07:00,-0.984078,-0.024431,0.014838,2025-10-15T16:38:34.130-07:00,0.141854,0.029666,-0.11526,2025-10-15T16:38:34.136-07:00
IMG_2855.JPG,2025-10-15 16:38:39,2025-10-15 16:38:39.127,0.127,114.0,0.064854,-0.031703,-0.009392,2025-10-15T16:38:39.127-07:00,-9.799743,0.257409,-0.239205,2025-10-15T16:38:39.127-07:00,-618.206915,56.011755,80.045467,2025-10-15T16:38:39.132-07:00,-50.008755,10.79334,7.78116,2025-10-15T16:38:39.127-07:00,376.298802,1.997014,-1.0,33.304033,406.728505,-1.0,16.926916,53.358662,-111.680079,0.0,2025-10-15T16:38:39.474-07:00,0.063946,-0.034199,-0.011413,2025-10-15T16:38:39.131-07:00,-1.002814,-0.017346,-0.480408,-0.024405,0.876791,-0.004426,-0.026252,2025-10-15T16:38:39.127-07:00,-0.988335,0.025611,-0.034945,2025-10-15T16:38:39.131-07:00,0.106602,-0.005826,-0.098576,2025-10-15T16:38:39.127-07:00
IMG_2856.JPG,2025-10-15 16:38:43,2025-10-15 16:38:43.135,0.135,118.0,-0.253917,0.058647,0.004916,2025-10-15T16:38:43.135-07:00,-9.784699,0.543223,0.084059,2025-10-15T16:38:43.135-07:00,-617.355593,58.665228,80.377511,2025-10-15T16:38:43.127-07:00,-49.205007,13.406988,8.073593,2025-10-15T16:38:43.135-07:00,376.187923,-1.0,-1.0,33.304054,406.617626,345.997562,15.780216,3.0,-111.680131,1.444824,2025-10-15T16:38:43.474-07:00,-0.25303,0.05593,0.003261,2025-10-15T16:38:43.128-07:00,-1.178899,-0.019992,-0.554863,0.008591,0.829439,0.01849,-0.055423,2025-10-15T16:38:43.135-07:00,-0.986413,0.054741,-0.001553,2025-10-15T16:38:43.128-07:00,0.110857,-0.005623,-0.093384,2025-10-15T16:38:43.135-07:00
